| end of split   1 /  2 | epoch   1 | time:  1.51s | valid loss  3.44 | valid ppl    31.23 | learning rate 20.0000
| end of split   1 /  2 | epoch   1 | time:  2.10s | valid loss  3.39 | valid ppl    29.62 | learning rate 20.0000
| end of split   1 /  2 | epoch   1 | time:  1.92s | valid loss  3.28 | valid ppl    26.63 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time:  1.04s | valid loss  3.08 | valid ppl    21.78 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time:  0.52s | valid loss  3.71 | valid ppl    40.71 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  0.61s | valid loss  4.87 | valid ppl   130.72 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  0.66s | valid loss  3.93 | valid ppl    50.92 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  0.74s | valid loss  3.52 | valid ppl    33.95 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  0.65s | valid loss  3.27 | valid ppl    26.18 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  0.70s | valid loss  3.27 | valid ppl    26.20 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  0.66s | valid loss  3.19 | valid ppl    24.20 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  0.73s | valid loss  3.05 | valid ppl    21.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  0.73s | valid loss  2.98 | valid ppl    19.64 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  0.69s | valid loss  2.86 | valid ppl    17.46 | learning rate 20.0000
TEST: valid loss  2.64 | valid ppl    14.06
| end of split   1 /  1 | epoch   1 | time:  1.09s | valid loss  3.35 | valid ppl    28.52 | learning rate 20.0000
| end of split   1 /  1 | epoch   1 | time:  0.57s | valid loss  3.70 | valid ppl    40.31 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  0.67s | valid loss  4.74 | valid ppl   114.42 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  0.66s | valid loss  3.57 | valid ppl    35.46 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  0.76s | valid loss  3.62 | valid ppl    37.23 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  0.79s | valid loss  3.42 | valid ppl    30.68 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  0.78s | valid loss  3.33 | valid ppl    28.02 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  0.59s | valid loss  3.23 | valid ppl    25.26 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  0.73s | valid loss  3.08 | valid ppl    21.73 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  0.57s | valid loss  2.96 | valid ppl    19.29 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  0.51s | valid loss  3.01 | valid ppl    20.19 | learning rate 20.0000
TEST: valid loss  2.70 | valid ppl    14.85
| end of split   1 /  1 | epoch   1 | time:  0.55s | valid loss  3.77 | valid ppl    43.37 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  0.67s | valid loss  4.08 | valid ppl    59.14 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  0.57s | valid loss  3.89 | valid ppl    48.91 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  0.69s | valid loss  3.70 | valid ppl    40.35 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  0.61s | valid loss  3.55 | valid ppl    34.68 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  0.63s | valid loss  3.29 | valid ppl    26.97 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  0.62s | valid loss  3.07 | valid ppl    21.49 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  0.70s | valid loss  3.06 | valid ppl    21.39 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  0.65s | valid loss  2.96 | valid ppl    19.36 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  0.79s | valid loss  2.80 | valid ppl    16.40 | learning rate 20.0000
